#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-05-26 16:21:33 EDT      (caww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 06752260 CACHE LA POUDRE RIVER AT FORT COLLINS, CO
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		17702	
# 00095		Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius		17705	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	06752260	00060	17702	1984	12	97.3
USGS	06752260	00060	17702	1985	1	97.8
USGS	06752260	00060	17702	1985	2	93.3
USGS	06752260	00060	17702	1985	3	45.3
USGS	06752260	00060	17702	1985	4	64.3
USGS	06752260	00060	17702	1985	5	165.6
USGS	06752260	00060	17702	1985	6	645.3
USGS	06752260	00060	17702	1985	7	86.7
USGS	06752260	00060	17702	1985	8	37.9
USGS	06752260	00060	17702	1985	9	30.6
USGS	06752260	00060	17702	1985	10	13.6
USGS	06752260	00060	17702	1985	11	42.3
USGS	06752260	00060	17702	1985	12	48.6
USGS	06752260	00060	17702	1986	1	30.5
USGS	06752260	00060	17702	1986	2	33.5
USGS	06752260	00060	17702	1986	3	123.7
USGS	06752260	00060	17702	1986	4	236.3
USGS	06752260	00060	17702	1986	5	316.0
USGS	06752260	00060	17702	1986	6	1661
USGS	06752260	00060	17702	1986	7	284.4
USGS	06752260	00060	17702	1986	8	17.8
USGS	06752260	00060	17702	1986	9	12.1
USGS	06752260	00060	17702	1986	10	6.42
USGS	06752260	00060	17702	1986	11	10.2
USGS	06752260	00060	17702	1986	12	13.0
USGS	06752260	00060	17702	1987	1	16.8
USGS	06752260	00060	17702	1987	2	1.30
USGS	06752260	00060	17702	1987	3	2.52
USGS	06752260	00060	17702	1987	4	10.3
USGS	06752260	00060	17702	1987	5	338.2
USGS	06752260	00060	17702	1987	6	269.5
USGS	06752260	00060	17702	1987	7	61.9
USGS	06752260	00060	17702	1987	8	23.6
USGS	06752260	00060	17702	1987	9	4.79
USGS	06752260	00060	17702	1987	10	2.63
USGS	06752260	00060	17702	1987	11	3.01
USGS	06752260	00060	17702	1987	12	4.05
USGS	06752260	00060	17702	1988	1	6.76
USGS	06752260	00060	17702	1988	2	4.92
USGS	06752260	00060	17702	1988	3	1.91
USGS	06752260	00060	17702	1988	4	0.370
USGS	06752260	00060	17702	1988	5	155.7
USGS	06752260	00060	17702	1988	6	344.5
USGS	06752260	00060	17702	1988	7	39.2
USGS	06752260	00060	17702	1988	8	12.8
USGS	06752260	00060	17702	1988	9	11.5
USGS	06752260	00060	17702	1988	10	4.62
USGS	06752260	00060	17702	1988	11	5.22
USGS	06752260	00060	17702	1988	12	4.61
USGS	06752260	00060	17702	1989	1	3.89
USGS	06752260	00060	17702	1989	2	3.90
USGS	06752260	00060	17702	1989	3	4.41
USGS	06752260	00060	17702	1989	4	3.08
USGS	06752260	00060	17702	1989	5	178.9
USGS	06752260	00060	17702	1989	6	158.0
USGS	06752260	00060	17702	1989	7	118.1
USGS	06752260	00060	17702	1989	8	37.0
USGS	06752260	00060	17702	1989	9	23.6
USGS	06752260	00060	17702	1989	10	5.39
USGS	06752260	00060	17702	1989	11	5.43
USGS	06752260	00060	17702	1989	12	5.28
USGS	06752260	00060	17702	1990	1	17.7
USGS	06752260	00060	17702	1990	2	20.0
USGS	06752260	00060	17702	1990	3	27.2
USGS	06752260	00060	17702	1990	4	165.2
USGS	06752260	00060	17702	1990	5	85.9
USGS	06752260	00060	17702	1990	6	514.3
USGS	06752260	00060	17702	1990	7	91.8
USGS	06752260	00060	17702	1990	8	37.1
USGS	06752260	00060	17702	1990	9	21.8
USGS	06752260	00060	17702	1990	10	7.95
USGS	06752260	00060	17702	1990	11	6.08
USGS	06752260	00060	17702	1990	12	28.7
USGS	06752260	00060	17702	1991	1	20.9
USGS	06752260	00060	17702	1991	2	9.56
USGS	06752260	00060	17702	1991	3	2.73
USGS	06752260	00060	17702	1991	4	3.36
USGS	06752260	00060	17702	1991	5	65.8
USGS	06752260	00060	17702	1991	6	838.3
USGS	06752260	00060	17702	1991	7	85.8
USGS	06752260	00060	17702	1991	8	58.7
USGS	06752260	00060	17702	1991	9	13.9
USGS	06752260	00060	17702	1991	10	5.53
USGS	06752260	00060	17702	1991	11	6.65
USGS	06752260	00060	17702	1991	12	5.56
USGS	06752260	00060	17702	1992	1	4.72
USGS	06752260	00060	17702	1992	2	5.85
USGS	06752260	00060	17702	1992	3	7.32
USGS	06752260	00060	17702	1992	4	20.7
USGS	06752260	00060	17702	1992	5	307.5
USGS	06752260	00060	17702	1992	6	256.3
USGS	06752260	00060	17702	1992	7	72.7
USGS	06752260	00060	17702	1992	8	29.1
USGS	06752260	00060	17702	1992	9	16.4
USGS	06752260	00060	17702	1992	10	13.0
USGS	06752260	00060	17702	1992	11	8.61
USGS	06752260	00060	17702	1992	12	7.33
USGS	06752260	00060	17702	1993	1	16.9
USGS	06752260	00060	17702	1993	2	22.8
USGS	06752260	00060	17702	1993	3	29.8
USGS	06752260	00060	17702	1993	4	28.0
USGS	06752260	00060	17702	1993	5	143.1
USGS	06752260	00060	17702	1993	6	958.6
USGS	06752260	00060	17702	1993	7	284.4
USGS	06752260	00060	17702	1993	8	59.3
USGS	06752260	00060	17702	1993	9	23.1
USGS	06752260	00060	17702	1993	10	9.25
USGS	06752260	00060	17702	1993	11	8.91
USGS	06752260	00060	17702	1993	12	5.62
USGS	06752260	00060	17702	1994	1	27.7
USGS	06752260	00060	17702	1994	2	28.7
USGS	06752260	00060	17702	1994	3	32.2
USGS	06752260	00060	17702	1994	4	9.28
USGS	06752260	00060	17702	1994	5	221.6
USGS	06752260	00060	17702	1994	6	293.1
USGS	06752260	00060	17702	1994	7	65.0
USGS	06752260	00060	17702	1994	8	53.6
USGS	06752260	00060	17702	1994	9	8.83
USGS	06752260	00060	17702	1994	10	5.86
USGS	06752260	00060	17702	1994	11	8.47
USGS	06752260	00060	17702	1994	12	7.95
USGS	06752260	00060	17702	1995	1	6.12
USGS	06752260	00060	17702	1995	2	5.22
USGS	06752260	00060	17702	1995	3	2.35
USGS	06752260	00060	17702	1995	4	3.70
USGS	06752260	00060	17702	1995	5	334.5
USGS	06752260	00060	17702	1995	6	2143
USGS	06752260	00060	17702	1995	7	474.2
USGS	06752260	00060	17702	1995	8	64.5
USGS	06752260	00060	17702	1995	9	34.9
USGS	06752260	00060	17702	1995	10	3.19
USGS	06752260	00060	17702	1995	11	2.42
USGS	06752260	00060	17702	1995	12	17.1
USGS	06752260	00060	17702	1996	1	50.7
USGS	06752260	00060	17702	1996	2	74.0
USGS	06752260	00060	17702	1996	3	73.7
USGS	06752260	00060	17702	1996	4	69.2
USGS	06752260	00060	17702	1996	5	436.3
USGS	06752260	00060	17702	1996	6	1095
USGS	06752260	00060	17702	1996	7	246.7
USGS	06752260	00060	17702	1996	8	52.9
USGS	06752260	00060	17702	1996	9	40.9
USGS	06752260	00060	17702	1996	10	34.3
USGS	06752260	00060	17702	1996	11	48.3
USGS	06752260	00060	17702	1996	12	38.7
USGS	06752260	00060	17702	1997	1	32.3
USGS	06752260	00060	17702	1997	2	40.9
USGS	06752260	00060	17702	1997	3	41.9
USGS	06752260	00060	17702	1997	4	18.6
USGS	06752260	00060	17702	1997	5	315.0
USGS	06752260	00060	17702	1997	6	1785
USGS	06752260	00060	17702	1997	7	200.9
USGS	06752260	00060	17702	1997	8	300.9
USGS	06752260	00060	17702	1997	9	207.5
USGS	06752260	00060	17702	1997	10	181.7
USGS	06752260	00060	17702	1997	11	183.0
USGS	06752260	00060	17702	1997	12	89.8
USGS	06752260	00060	17702	1998	1	76.8
USGS	06752260	00060	17702	1998	2	64.4
USGS	06752260	00060	17702	1998	3	115.9
USGS	06752260	00060	17702	1998	4	188.1
USGS	06752260	00060	17702	1998	5	306.0
USGS	06752260	00060	17702	1998	6	445.0
USGS	06752260	00060	17702	1998	7	202.2
USGS	06752260	00060	17702	1998	8	99.6
USGS	06752260	00060	17702	1998	9	40.5
USGS	06752260	00060	17702	1998	10	5.81
USGS	06752260	00060	17702	1998	11	55.0
USGS	06752260	00060	17702	1998	12	58.3
USGS	06752260	00060	17702	1999	1	77.7
USGS	06752260	00060	17702	1999	2	61.7
USGS	06752260	00060	17702	1999	3	42.3
USGS	06752260	00060	17702	1999	4	247.0
USGS	06752260	00060	17702	1999	5	1543
USGS	06752260	00060	17702	1999	6	1425
USGS	06752260	00060	17702	1999	7	236.6
USGS	06752260	00060	17702	1999	8	107.5
USGS	06752260	00060	17702	1999	9	76.1
USGS	06752260	00060	17702	1999	10	65.4
USGS	06752260	00060	17702	1999	11	58.9
USGS	06752260	00060	17702	1999	12	45.9
USGS	06752260	00060	17702	2000	1	59.1
USGS	06752260	00060	17702	2000	2	79.4
USGS	06752260	00060	17702	2000	3	2.78
USGS	06752260	00060	17702	2000	4	40.4
USGS	06752260	00060	17702	2000	5	259.5
USGS	06752260	00060	17702	2000	6	179.2
USGS	06752260	00060	17702	2000	7	64.2
USGS	06752260	00060	17702	2000	8	100.6
USGS	06752260	00060	17702	2000	9	38.8
USGS	06752260	00060	17702	2000	10	8.16
USGS	06752260	00060	17702	2000	11	5.93
USGS	06752260	00060	17702	2000	12	24.8
USGS	06752260	00060	17702	2001	1	21.5
USGS	06752260	00060	17702	2001	2	19.2
USGS	06752260	00060	17702	2001	3	19.3
USGS	06752260	00060	17702	2001	4	3.91
USGS	06752260	00060	17702	2001	5	197.1
USGS	06752260	00060	17702	2001	6	174.4
USGS	06752260	00060	17702	2001	7	75.7
USGS	06752260	00060	17702	2001	8	38.8
USGS	06752260	00060	17702	2001	9	10.9
USGS	06752260	00060	17702	2001	10	1.76
USGS	06752260	00060	17702	2001	11	5.54
USGS	06752260	00060	17702	2001	12	11.2
USGS	06752260	00060	17702	2002	1	20.2
USGS	06752260	00060	17702	2002	2	22.6
USGS	06752260	00060	17702	2002	3	7.02
USGS	06752260	00060	17702	2002	4	4.28
USGS	06752260	00060	17702	2002	5	80.9
USGS	06752260	00060	17702	2002	6	181.6
USGS	06752260	00060	17702	2002	7	34.9
USGS	06752260	00060	17702	2002	8	23.9
USGS	06752260	00060	17702	2002	9	7.36
USGS	06752260	00060	17702	2002	10	4.16
USGS	06752260	00060	17702	2002	11	2.11
USGS	06752260	00060	17702	2002	12	12.9
USGS	06752260	00060	17702	2003	1	11.1
USGS	06752260	00060	17702	2003	2	7.94
USGS	06752260	00060	17702	2003	3	5.23
USGS	06752260	00060	17702	2003	4	30.2
USGS	06752260	00060	17702	2003	5	255.6
USGS	06752260	00060	17702	2003	6	385.3
USGS	06752260	00060	17702	2003	7	98.9
USGS	06752260	00060	17702	2003	8	49.8
USGS	06752260	00060	17702	2003	9	26.2
USGS	06752260	00060	17702	2003	10	9.86
USGS	06752260	00060	17702	2003	11	3.93
USGS	06752260	00060	17702	2003	12	4.16
USGS	06752260	00060	17702	2004	1	2.96
USGS	06752260	00060	17702	2004	2	0.851
USGS	06752260	00060	17702	2004	3	1.39
USGS	06752260	00060	17702	2004	4	33.0
USGS	06752260	00060	17702	2004	5	223.4
USGS	06752260	00060	17702	2004	6	296.8
USGS	06752260	00060	17702	2004	7	177.6
USGS	06752260	00060	17702	2004	8	82.0
USGS	06752260	00060	17702	2004	9	72.0
USGS	06752260	00060	17702	2004	10	334.9
USGS	06752260	00060	17702	2004	11	26.1
USGS	06752260	00060	17702	2004	12	16.8
USGS	06752260	00060	17702	2005	1	9.49
USGS	06752260	00060	17702	2005	2	8.03
USGS	06752260	00060	17702	2005	3	8.22
USGS	06752260	00060	17702	2005	4	19.1
USGS	06752260	00060	17702	2005	5	189.4
USGS	06752260	00060	17702	2005	6	537.6
USGS	06752260	00060	17702	2005	7	88.6
USGS	06752260	00060	17702	2005	8	76.0
USGS	06752260	00060	17702	2005	9	62.2
USGS	06752260	00060	17702	2005	10	179.3
USGS	06752260	00060	17702	2005	11	4.58
USGS	06752260	00060	17702	2005	12	2.70
USGS	06752260	00060	17702	2006	1	6.73
USGS	06752260	00060	17702	2006	2	5.65
USGS	06752260	00060	17702	2006	3	21.2
USGS	06752260	00060	17702	2006	4	26.9
USGS	06752260	00060	17702	2006	5	262.5
USGS	06752260	00060	17702	2006	6	297.3
USGS	06752260	00060	17702	2006	7	177.3
USGS	06752260	00060	17702	2006	8	65.8
USGS	06752260	00060	17702	2006	9	58.2
USGS	06752260	00060	17702	2006	10	73.1
USGS	06752260	00060	17702	2006	11	4.43
USGS	06752260	00060	17702	2006	12	20.1
USGS	06752260	00060	17702	2007	1	25.8
USGS	06752260	00060	17702	2007	2	42.5
USGS	06752260	00060	17702	2007	3	53.7
USGS	06752260	00060	17702	2007	4	28.8
USGS	06752260	00060	17702	2007	5	214.9
USGS	06752260	00060	17702	2007	6	289.1
USGS	06752260	00060	17702	2007	7	117.6
USGS	06752260	00060	17702	2007	8	84.9
USGS	06752260	00060	17702	2007	9	17.6
USGS	06752260	00060	17702	2007	10	66.6
USGS	06752260	00060	17702	2007	11	3.65
USGS	06752260	00060	17702	2007	12	3.26
USGS	06752260	00060	17702	2008	1	3.33
USGS	06752260	00060	17702	2008	2	2.97
USGS	06752260	00060	17702	2008	3	5.25
USGS	06752260	00060	17702	2008	4	21.2
USGS	06752260	00060	17702	2008	5	166.3
USGS	06752260	00060	17702	2008	6	612.7
USGS	06752260	00060	17702	2008	7	144.5
USGS	06752260	00060	17702	2008	8	44.1
USGS	06752260	00060	17702	2008	9	86.2
USGS	06752260	00060	17702	2008	10	8.97
USGS	06752260	00060	17702	2008	11	3.79
USGS	06752260	00060	17702	2008	12	3.97
USGS	06752260	00060	17702	2009	1	3.08
USGS	06752260	00060	17702	2009	2	3.37
USGS	06752260	00060	17702	2009	3	6.76
USGS	06752260	00060	17702	2009	4	24.0
USGS	06752260	00060	17702	2009	5	181.1
USGS	06752260	00060	17702	2009	6	846.1
USGS	06752260	00060	17702	2009	7	128.6
USGS	06752260	00060	17702	2009	8	53.3
USGS	06752260	00060	17702	2009	9	75.2
USGS	06752260	00060	17702	2009	10	118.0
USGS	06752260	00060	17702	2009	11	58.1
USGS	06752260	00060	17702	2009	12	41.6
USGS	06752260	00060	17702	2010	1	28.5
USGS	06752260	00060	17702	2010	2	17.7
USGS	06752260	00060	17702	2010	3	10.8
USGS	06752260	00060	17702	2010	4	106.9
USGS	06752260	00060	17702	2010	5	839.4
USGS	06752260	00060	17702	2010	6	1525
USGS	06752260	00060	17702	2010	7	140.1
USGS	06752260	00060	17702	2010	8	76.9
USGS	06752260	00060	17702	2010	9	33.3
USGS	06752260	00060	17702	2010	10	157.3
USGS	06752260	00060	17702	2010	11	40.7
USGS	06752260	00060	17702	2010	12	57.0
USGS	06752260	00060	17702	2011	1	39.4
USGS	06752260	00060	17702	2011	2	25.8
USGS	06752260	00060	17702	2011	3	39.8
USGS	06752260	00060	17702	2011	4	23.9
USGS	06752260	00060	17702	2011	5	378.9
USGS	06752260	00060	17702	2011	6	2181
USGS	06752260	00060	17702	2011	7	1060
USGS	06752260	00060	17702	2011	8	93.1
USGS	06752260	00060	17702	2011	9	102.6
USGS	06752260	00060	17702	2011	10	62.4
USGS	06752260	00060	17702	2011	11	71.5
USGS	06752260	00060	17702	2011	12	59.4
USGS	06752260	00060	17702	2012	1	50.1
USGS	06752260	00060	17702	2012	2	32.7
USGS	06752260	00060	17702	2012	3	29.0
USGS	06752260	00060	17702	2012	4	74.7
USGS	06752260	00060	17702	2012	5	200.9
USGS	06752260	00060	17702	2012	6	131.8
USGS	06752260	00060	17702	2012	7	127.5
USGS	06752260	00060	17702	2012	8	113.7
USGS	06752260	00060	17702	2012	9	61.2
USGS	06752260	00060	17702	2012	10	45.9
USGS	06752260	00060	17702	2012	11	5.85
USGS	06752260	00060	17702	2012	12	12.8
USGS	06752260	00060	17702	2013	1	18.1
USGS	06752260	00060	17702	2013	2	18.0
USGS	06752260	00060	17702	2013	3	8.21
USGS	06752260	00060	17702	2013	4	5.94
USGS	06752260	00060	17702	2013	5	332.6
USGS	06752260	00060	17702	2013	6	300.0
USGS	06752260	00060	17702	2013	7	75.6
USGS	06752260	00060	17702	2013	8	48.8
USGS	06752260	00060	17702	2013	9	1085
USGS	06752260	00060	17702	2013	10	146.1
USGS	06752260	00060	17702	2013	11	162.8
USGS	06752260	00060	17702	2013	12	124.4
USGS	06752260	00060	17702	2014	1	91.3
USGS	06752260	00060	17702	2014	2	94.3
USGS	06752260	00060	17702	2014	3	144.0
USGS	06752260	00060	17702	2014	4	190.4
USGS	06752260	00060	17702	2014	5	1425
USGS	06752260	00060	17702	2014	6	1916
USGS	06752260	00060	17702	2014	7	260.6
USGS	06752260	00060	17702	2014	8	177.5
USGS	06752260	00060	17702	2014	9	88.0
USGS	06752260	00060	17702	2014	10	121.2
USGS	06752260	00060	17702	2014	11	147.0
USGS	06752260	00060	17702	2014	12	114.8
USGS	06752260	00060	17702	2015	1	114.3
USGS	06752260	00060	17702	2015	2	104.6
USGS	06752260	00060	17702	2015	3	145.0
USGS	06752260	00060	17702	2015	4	265.7
USGS	06752260	00060	17702	2015	5	1926
USGS	06752260	00060	17702	2015	6	2305
USGS	06752260	00060	17702	2015	7	315.3
USGS	06752260	00060	17702	2015	8	144.1
USGS	06752260	00060	17702	2015	9	60.8
USGS	06752260	00060	17702	2015	10	39.7
USGS	06752260	00060	17702	2015	11	54.0
USGS	06752260	00060	17702	2015	12	94.4
USGS	06752260	00060	17702	2016	1	76.5
USGS	06752260	00060	17702	2016	2	102.0
USGS	06752260	00060	17702	2016	3	96.8
USGS	06752260	00060	17702	2016	4	489.3
USGS	06752260	00060	17702	2016	5	1620
USGS	06752260	00060	17702	2016	6	1250
